t_ns,cycles,period_ms.min,period_ms.mean,period_ms.max,period_ms.p95,period_ms.p99,rpc_ms.mean,rpc_ms.max,total_ms.mean,total_ms.max,late,late_run_max,qf_events,qf_retries,qf_blocked_ms,rc.ok,rc.busy,rc.bad,rc.inval,rc.ign,rc.other,exc
1784876525285764516,250,7.65,8,8.36,8.05,8.17,2.1,3.22,4.31,6.37,0,0,0,0,0,250,0,0,0,0,0,0
1784876527286587755,250,7.75,8,8.32,8.07,8.25,2.08,3.67,4.28,6.41,0,0,0,0,0,250,0,0,0,0,0,0
1784876529285996703,250,7.4,8,8.59,8.06,8.3,2.16,3.53,4.39,6.78,0,0,0,0,0,250,0,0,0,0,0,0
1784876531285445230,250,7.41,8,8.6,8.06,8.28,2.07,3.37,4.21,5.61,0,0,0,0,0,250,0,0,0,0,0,0
1784876533285096835,250,7.18,8,8.83,8.05,8.28,2.03,2.93,4.16,6.69,0,0,0,0,0,250,0,0,0,0,0,0
1784876535285946556,250,7.68,8,8.3,8.05,8.14,2.09,3.53,4.3,6.45,0,0,0,0,0,250,0,0,0,0,0,0
1784876537287352684,250,7.36,8,8.66,8.07,8.29,2.09,3.07,4.28,6.02,0,0,0,0,0,250,0,0,0,0,0,0
1784876539285411075,250,7.26,8,8.74,8.08,8.32,2.16,3.54,4.38,7.48,0,0,0,0,0,250,0,0,0,0,0,0
1784876541285939808,250,7.36,8,8.43,8.06,8.23,2.16,3.84,4.41,6.96,0,0,0,0,0,250,0,0,0,0,0,0
1784876543286142754,250,7.21,8,8.8,8.11,8.42,2.13,3.55,4.39,7.38,0,0,0,0,0,250,0,0,0,0,0,0
1784876545285382206,250,7.34,8,8.64,8.13,8.38,2.14,3.42,4.36,6.79,0,0,0,0,0,250,0,0,0,0,0,0
1784876547286031281,250,7.25,8,8.64,8.1,8.23,2.15,3.35,4.37,5.99,0,0,0,0,0,250,0,0,0,0,0,0
1784876549285537608,250,7.67,8,8.33,8.04,8.21,2.09,3.59,4.32,6.54,0,0,0,0,0,250,0,0,0,0,0,0
1784876551285835514,250,7.07,8,8.88,8.06,8.43,2.13,3.25,4.34,6.36,0,0,0,0,0,250,0,0,0,0,0,0
1784876553286021544,250,7.43,8,8.61,8.06,8.22,2.11,3.6,4.26,7.14,0,0,0,0,0,250,0,0,0,0,0,0
1784876555285567049,250,7.64,8,8.35,8.07,8.25,2.08,3.47,4.23,6.74,0,0,0,0,0,250,0,0,0,0,0,0
1784876557285313821,250,7.89,8,8.1,8.05,8.08,2.03,3.11,4.07,5.08,0,0,0,0,0,250,0,0,0,0,0,0
1784876559285341072,250,7.86,8,8.15,8.06,8.1,2,2.25,4.03,5.03,0,0,0,0,0,250,0,0,0,0,0,0
1784876561285781722,250,7.9,8,8.11,8.05,8.1,1.99,2.38,4,5.16,0,0,0,0,0,250,0,0,0,0,0,0
1784876563285334091,250,7.89,8,8.08,8.05,8.08,2,3.01,4.04,5.15,0,0,0,0,0,250,0,0,0,0,0,0
1784876565286214873,250,7.52,8,8.51,8.06,8.21,2.04,3.16,4.15,5.45,0,0,0,0,0,250,0,0,0,0,0,0
1784876567285816700,250,7.22,8,8.79,8.08,8.62,2.14,3.35,4.39,6.83,0,0,0,0,0,250,0,0,0,0,0,0
1784876569285775059,250,7.3,8,8.72,8.07,8.32,2.14,3.77,4.39,6.47,0,0,0,0,0,250,0,0,0,0,0,0
1784876571286265414,250,7.26,8,8.49,8.09,8.26,2.12,3.44,4.35,7.24,0,0,0,0,0,250,0,0,0,0,0,0
1784876573285833045,250,7.37,8,8.47,8.06,8.25,2.14,3.64,4.38,6.36,0,0,0,0,0,250,0,0,0,0,0,0
1784876575285296905,250,7.29,8,8.74,8.05,8.21,2.07,3.81,4.23,6.58,0,0,0,0,0,250,0,0,0,0,0,0
1784876577286014363,250,7.33,8,8.68,8.07,8.34,2.12,3.37,4.33,6.58,0,0,0,0,0,250,0,0,0,0,0,0
1784876579285781407,250,7.23,8,8.82,8.07,8.32,2.1,3.56,4.31,6.41,0,0,0,0,0,250,0,0,0,0,0,0
1784876581285840105,250,7.63,8,8.37,8.05,8.21,2.12,5.48,4.33,7.76,0,0,0,0,0,250,0,0,0,0,0,0
1784876583285461124,250,7.32,8,8.64,8.05,8.37,2.1,3.76,4.23,5.91,0,0,0,0,0,250,0,0,0,0,0,0
1784876585285679606,250,7.09,8,8.77,8.08,8.27,2.13,4.84,4.36,7.04,0,0,0,0,0,250,0,0,0,0,0,0
1784876587285414321,250,7.59,8,8.4,8.09,8.37,2.15,3.56,4.37,7.3,0,0,0,0,0,250,0,0,0,0,0,0
1784876589285768964,250,7.79,8,8.21,8.04,8.11,2.01,2.69,4.08,5.35,0,0,0,0,0,250,0,0,0,0,0,0
1784876591285438173,250,7.54,8,8.42,8.07,8.3,2.04,2.55,4.17,5.48,0,0,0,0,0,250,0,0,0,0,0,0
1784876593285503194,250,7.67,8,8.34,8.05,8.08,2.06,2.63,4.2,5.35,0,0,0,0,0,250,0,0,0,0,0,0
1784876595285472183,250,7.59,8,8.42,8.06,8.27,2.06,2.62,4.21,5.64,0,0,0,0,0,250,0,0,0,0,0,0
1784876597285414244,250,7.16,8,8.83,8.05,8.22,2.05,3.12,4.17,6.13,0,0,0,0,0,250,0,0,0,0,0,0
1784876599285482796,250,7.76,8,8.25,8.04,8.08,2.07,3,4.19,5.99,0,0,0,0,0,250,0,0,0,0,0,0
1784876601285478530,250,7.71,8,8.3,8.04,8.06,2.03,3.11,4.11,5.31,0,0,0,0,0,250,0,0,0,0,0,0
1784876603285542250,250,7.91,8,8.1,8.04,8.06,2.03,2.57,4.12,5.46,0,0,0,0,0,250,0,0,0,0,0,0
1784876605285820265,250,7.88,8,8.11,8.04,8.08,2.04,2.59,4.13,5.18,0,0,0,0,0,250,0,0,0,0,0,0
1784876607284861903,250,7.84,8,8.13,8.04,8.08,2.06,2.64,4.18,5.67,0,0,0,0,0,250,0,0,0,0,0,0
1784876609285497473,250,7.34,8,8.65,8.04,8.1,2.03,3,4.12,5.65,0,0,0,0,0,250,0,0,0,0,0,0
1784876611285386678,250,7.51,8,8.29,8.04,8.18,2.06,3.15,4.17,5.37,0,0,0,0,0,250,0,0,0,0,0,0
1784876613285981719,250,7.58,8,8.4,8.04,8.1,2.08,3.36,4.22,5.6,0,0,0,0,0,250,0,0,0,0,0,0
1784876615285450101,250,7.5,8,8.53,8.05,8.16,2.05,3.14,4.17,5.89,0,0,0,0,0,250,0,0,0,0,0,0
1784876617285773640,250,7.91,8,8.13,8.04,8.1,2.09,3.06,4.22,5.95,0,0,0,0,0,250,0,0,0,0,0,0
1784876619285723517,250,7.91,8,8.09,8.04,8.08,2.05,2.54,4.17,5.36,0,0,0,0,0,250,0,0,0,0,0,0
1784876621285909593,250,7.62,8,8.39,8.05,8.26,2.06,2.83,4.15,6.12,0,0,0,0,0,250,0,0,0,0,0,0
1784876623285557469,250,7.32,8,8.64,8.07,8.39,2.11,3.15,4.3,6.5,0,0,0,0,0,250,0,0,0,0,0,0
1784876625285307177,250,7.52,8,8.44,8.04,8.29,2.06,4.98,4.19,7.15,0,0,0,0,0,250,0,0,0,0,0,0
1784876627286726145,250,7.9,8,8.08,8.05,8.08,2.11,3.1,4.26,5.52,0,0,0,0,0,250,0,0,0,0,0,0
1784876629285836965,250,7.55,8,8.4,8.04,8.07,2.09,2.82,4.27,5.51,0,0,0,0,0,250,0,0,0,0,0,0
1784876631286062994,250,7.37,8,8.63,8.04,8.15,2.07,2.93,4.22,5.39,0,0,0,0,0,250,0,0,0,0,0,0
1784876633284807603,250,7.73,8,8.27,8.04,8.26,2.08,2.7,4.21,5.4,0,0,0,0,0,250,0,0,0,0,0,0
1784876635286086872,250,7.65,8,8.35,8.05,8.09,2.09,2.69,4.2,5.68,0,0,0,0,0,250,0,0,0,0,0,0
1784876637285543302,250,7.91,8,8.09,8.04,8.09,2.06,2.99,4.21,5.97,0,0,0,0,0,250,0,0,0,0,0,0
1784876639285564591,250,7.62,8,8.25,8.04,8.16,2.1,2.68,4.26,6.68,0,0,0,0,0,250,0,0,0,0,0,0
1784876641285240326,250,7.88,8,8.09,8.04,8.08,2.06,2.99,4.13,6.66,0,0,0,0,0,250,0,0,0,0,0,0
1784876643285108197,250,7.3,8,8.44,8.04,8.31,2.07,2.68,4.22,5.51,0,0,0,0,0,250,0,0,0,0,0,0
1784876645285460842,250,7.88,8,8.12,8.04,8.07,1.99,2.56,4.08,5.23,0,0,0,0,0,250,0,0,0,0,0,0
1784876647285063040,250,7.67,8,8.32,8.04,8.07,2.05,2.52,4.16,5.42,0,0,0,0,0,250,0,0,0,0,0,0
1784876649285640477,250,7.17,8,8.8,8.05,8.08,2.07,3.78,4.15,6.37,0,0,0,0,0,250,0,0,0,0,0,0
1784876651285738786,250,7.83,8,8.17,8.04,8.09,2.04,2.74,4.1,5.21,0,0,0,0,0,250,0,0,0,0,0,0
1784876653285445195,250,7.64,8,8.37,8.04,8.11,2.03,3.19,4.09,5.72,0,0,0,0,0,250,0,0,0,0,0,0
